what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1344020442337
started,bundle,com.google.gdt.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.core",1344020442337
started,bundle,com.google.gdt.eclipse.login,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.login",1344020442402
started,bundle,com.google.gdt.eclipse.managedapis,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.managedapis",1344020442403
started,bundle,com.google.gdt.eclipse.suite.ext,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.suite.ext",1344020442404
os,sysinfo,,,"macosx",1344020442477
arch,sysinfo,,,"x86_64",1344020442477
ws,sysinfo,,,"cocoa",1344020442477
locale,sysinfo,,,"de_DE",1344020442477
processors,sysinfo,,,"2",1344020442477
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1344020442477
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1344020442477
java.specification.name,sysinfo,,,"Java Platform API Specification",1344020442477
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1344020442477
java.specification.version,sysinfo,,,"1.6",1344020442477
java.vendor,sysinfo,,,"Apple Inc.",1344020442477
java.version,sysinfo,,,"1.6.0_22",1344020442477
java.vm.info,sysinfo,,,"mixed mode",1344020442477
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1344020442477
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1344020442477
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1344020442477
java.vm.specification.version,sysinfo,,,"1.0",1344020442477
java.vm.vendor,sysinfo,,,"Apple Inc.",1344020442477
java.vm.version,sysinfo,,,"17.1-b03-307",1344020442477
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1344020443290
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1344020443376
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1344020444391
